Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
FSF.NZ,31/07/2019,31/07/2019,0.0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,102935,102935,0,0,0,0,0,0,0,0,0,0,0,0,0,371327,0,371327,0,371327,371327,0,0,371327,0,0,102935,102935,36367,0,-36367,0,0,0,0,78476,0,0,36367,-114844,0,0,0,0,0,0,0,0,0,0.051918572112383155,0.061277615813426944,0.22492409013236947
HLG.NZ,31/07/2019,31/07/2019,0.0,0.0,False,287550,114999,172551,135527,37024,221,2197,39442,10422,29020,0,0,59649,59649,29020,29020,221,0,221,114999,0,29020,0,0,37024,0,0,104580,29580,75000,75000,75000,74561,19030,75000,74561,0,0,59530,59530,35992,-12142,-24797,16506,10183,0,-20223,1449,0,0,15769,0,0,0,0,0,0,0,0,0,0,0.051918572112383155,0.061277615813426944,0.22492409013236947
KMD.NZ,31/07/2019,31/07/2019,0.0,0.0,False,545618,213125,332493,249330,83163,-2915,1130,81378,23745,57633,0,0,334768,337397,57633,57633,37,2952,-2915,213125,15272,57633,0,0,99602,0,0,594553,152491,442062,467562,442062,56001,67042,467562,56001,25500,19270,335012,335012,61674,-15695,-47883,6230,26466,3237,-15696,92606,0,-106606,45978,0,0,0,0,0,0,0,0,0,0,0.051918572112383155,0.061277615813426944,0.22492409013236947
SML.NZ,31/07/2019,31/07/2019,0.0,0.0,False,980290,778722,201568,82714,118853,-7261,-1459,110134,31429,78705,0,0,179209,179209,78705,78705,1179,8440,-7261,778722,26451,78705,0,0,145025,0,0,1098674,627472,471202,709964,471202,451993,-86372,805309,451993,334107,318787,179223,179223,130824,-322860,176606,15319,25524,0,-306671,0,0,145756,-175847,0,0,0,0,0,0,0,0,0,0,0.051918572112383155,0.061277615813426944,0.22492409013236947
WHS.NZ,31/07/2019,31/07/2019,0.0,0.0,False,3071357,2042722,1028635,923149,105486,-8870,-2543,94064,26621,65382,0,0,345229,345229,65382,75056,0,8870,-8870,2042722,60613,67310,-10804,-10804,174351,0,-3058,1050821,568788,482033,481314,481314,355802,125210,606729,355802,125465,76118,345286,345286,197993,-59037,-116114,49297,26540,8657,-61326,0,0,-63715,136667,0,0,50,0,0,0,0,0,0,0,0.051918572112383155,0.061277615813426944,0.22492409013236947
GTK.NZ,30/09/2016,30/09/2016,0.5710589487082354,0.062239478168303775,True,52222,0,52222,38384,13838,-1208,512,13142,3534,9608,0,0,73963,73963,9608,9608,187,1395,-1208,0,2377,9608,0,0,16914,0,0,88190,17227,70963,70963,70963,14320,13788,70963,14320,0,0,73963,73963,15759,-910,-8101,18818,5651,0,-910,0,0,0,14849,0,0,0,0,0,0,0,0,0,0,0.08213849594388467,0.0717871219612145,-0.24787776431971398
SAN.NZ,30/09/2016,30/09/2016,0.18960089668599878,0.062239478168303775,True,463469,350753,112716,56859,55857,-8193,6028,53692,15879,34744,0,0,93494,93494,34744,38261,456,8649,-8193,350753,0,37826,-617,-617,62958,0,-182.473,797836,239701,558135,679137,557737,57410,50783,734371,57410,177542,173045,93627,93627,34372,-36788,1064,-51645,12501,8547,-42148,0,41240,-18402,-7776,0,0,908,0,0,0,0,0,0,0,0.08213849594388467,0.0717871219612145,-0.24787776431971398
TWR.NZ,30/09/2016,30/09/2016,-0.07567596614031935,0.062239478168303775,False,266245,0,0,0,0,0,0,-26426,-4911,-22328,0,0,219612,219612,-22328,-6366,0,0,0,0,6388,-22328,-19606,-19606,0,0,-3644,640281,416329,223952,222578,222578,190596,0,222578,190596,0,0,219083,219083,-10310,9275,-29844,92228,4598,0,-9175,0,0,0,-19485,-2413,0,0,-10310,0,0,0,0,0,292671,0.08213849594388467,0.0717871219612145,-0.24787776431971398
GTK.NZ,30/09/2017,29/09/2017,0.422015684310713,0.1783844049971126,True,74542,0,74542,55268,19274,-1152,-686,17436,5611,11825,0,0,79619,79619,11825,11825,78,1230,-1152,0,3991,11825,0,0,22657,0,0,201358,82831,118527,163516,118527,-45643,8028,163516,-45643,44989,35262,85152,85152,14059,-79824,56425,9727,4808,0,-2188,35512,42481,-11852,11871,-110,0,0,0,0,0,0,0,0,0,0.17907275624465413,0.23589331206176678,-0.38085934625996676
SAN.NZ,30/09/2017,29/09/2017,0.043143965294290654,0.1783844049971126,False,477940,365661,112279,59462,52817,-2389,1222,51650,14172,37486,0,0,93495,93495,37486,37486,6464,8853,-2389,365661,0,37486,0,0,60503,0,0,819965,244129,575836,670309,575309,70911,26681,761430,70911,186571,180971,93506,93506,50280,-36714,-11930,-49971,13505,8628,-36803,0,23600,-14000,13477,0,0,450,0,0,0,0,0,0,0,0.17907275624465413,0.23589331206176678,-0.38085934625996676
TWR.NZ,30/09/2017,29/09/2017,0.16815488260425226,0.1783844049971126,False,267598,0,0,0,0,0,0,-5999,2001,-8461,0,0,219083,219083,-8461,-8461,0,835,0,0,0,-8461,0,0,0,0,0,639466,423722,215744,244340,214419,183085,0,244340,183085,29921,0,219083,219083,-32772,15105,28707,102876,4908,0,-6883,0,30000,0,-39655,0,0,0,0,0,0,0,0,0,273597,0.17907275624465413,0.23589331206176678,-0.38085934625996676
GTK.NZ,30/09/2018,28/09/2018,-0.1768386332864751,0.15225975498891176,False,103622,0,103622,80508,23114,-1820,-562,20732,6863,13869,0,0,86622,86622,13869,16534,26,1846,-1820,0,6987,13869,-3984,-3984,33549,0,-1319,257669,41244,216425,216425,216425,2049,11994,216425,2049,0,0,98525,98525,22252,-49089,28305,11400,7918,0,-6203,90084,0,-46826,16049,-2559,0,0,0,0,0,0,0,0,0,0.14245056267953604,0.15889281042128411,0.20238095012832025
SAN.NZ,30/09/2018,28/09/2018,-0.10569131434113388,0.15225975498891176,False,514976,401069,113907,61398,52509,-8181,15636,59964,17664,42303,0,0,93506,93506,42303,42303,447,8628,-8181,401069,0,42303,0,0,68592,0,0,809371,227437,581934,681349,581349,75100,55600,736349,75100,155000,152370,93506,93506,72647,-22541,-52534,-52370,8950,8752,-24739,0,40000,-71000,47908,0,0,0,0,0,0,0,0,0,0,0.14245056267953604,0.15889281042128411,0.20238095012832025
TWR.NZ,30/09/2018,28/09/2018,-0.03703633750116808,0.15225975498891176,False,281722,0,0,0,0,0,0,-8021,-1295,-6773,0,0,320141,320141,-6773,-6815,0,570,0,0,6694,-6773,50,50,0,0,8.0726,686233,411454,274779,273311,273311,228269,0,273311,228269,0,0,350533,350533,10184,-26544,34637,102001,2831,0,-19802,65371,0,-30000,-9618,0,0,0,0,0,0,0,0,0,289743,0.14245056267953604,0.15889281042128411,0.20238095012832025
GTK.NZ,30/09/2019,30/09/2019,0.0,0.0,False,110330,0,110330,96309,14021,-763,-12815,443,3758,-3315,0,0,98605,98605,-3315,7162,11,774,-763,0,9440,-3315,-14551,-14551,25208,0,-4074,241639,44030,197609,198059,197609,2693,7697,202059,2693,4450,0,98645,98645,12791,-6293,-9703,8626,8138,0,-6293,0,8439,-4000,6498,0,0,0,0,0,0,0,0,0,0,0.06858650788399268,0.051490418344103395,-0.2926829085938022
NPH.NZ,30/09/2019,30/09/2019,0.0,0.0,False,97536,0,97536,76124,21412,-10512,-228,12030,5182,6848,0,0,0,0,6848,6848,136,10512,-10512,0,11981,6848,-1027,-1027,22542,0,0,371116,35635,335481,335481,335481,334371,28592,335481,334371,934,0,199404,199404,29336,-17487,19484,31224,4407,3287,-17419,234000,0,-80500,11917,-6969,0,934,0,0,0,0,0,0,0,0.06858650788399268,0.051490418344103395,-0.2926829085938022
SAN.NZ,30/09/2019,30/09/2019,0.0,0.0,False,545121,437745,107376,53399,53977,-7892,13238,59323,17631,41696,0,0,93506,93506,41696,41696,665,8557,-7892,437745,0,41696,0,0,67880,0,0,821213,233031,588182,671507,587507,94396,50032,726507,94396,139000,130678,93627,93627,48652,-5438,-37507,-46678,15026,8446,-38348,0,48000,-64000,10304,0,0,0,0,0,0,0,0,0,0,0.06858650788399268,0.051490418344103395,-0.2926829085938022
TWR.NZ,30/09/2019,30/09/2019,0.0,0.0,False,303357,0,0,0,0,0,0,25995,9190,16565,0,0,0,0,16565,16552,0,312,0,0,8170,16565,20,20,0,0,7.0706,703433,410775,292658,290857,290857,216646,0,305788,216646,14931,0,350533,350533,24654,-74292,14648,67018,2453,0,-37627,0,15000,0,-12973,0,0,0,0,0,0,0,0,0,277362,0.06858650788399268,0.051490418344103395,-0.2926829085938022
OCA.NZ,30/11/2016,30/11/2016,0.0,0.17295320041396245,False,0,0,0,0,0,0,0,0,0,0,0,0,610255,610255,0,0,0,0,0,0,0,0,0,0,0,0,0,801491,388321,413170,413170,413170,396636,-375036,481793,396636,68623,66616,610255,610255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09264701020634392,0.10763663110472788,-0.4534645240965627
RBD.NZ,28/02/2017,28/02/2017,0.3848621238218548,0.13363870923263077,True,497179,421872,75307,51815,23492,-2291,15887,37088,11133,25955,0,0,107797,107797,25955,26558,0,2291,-2291,421872,580,25955,-862,-862,40821,0,-258.6,302387,110328,192059,238541,192059,107698,25305,238541,107698,46482,0,122843,122843,47908,-79010,99249,70390,13471,2318,-20286,93869,446116,-415365,27622,-2739,0,0,0,0,0,0,0,0,0,0.18801547891632375,0.22460017557878187,-0.2842104918339058
RBD.NZ,28/02/2019,28/02/2019,0.49032997022995484,0.27334497803972035,True,824915,675697,149218,91115,58103,-6797,-1871,49435,13694,35741,0,0,124230,124230,35741,38300,0,6797,-6797,675697,2035,35741,-3539,-3539,61806,0,-980.303,460277,235607,224670,370161,224670,-24423,-39241,145853,-24423,145853,130819,124759,124759,71263,-26729,-39710,15034,16159,6801,-36934,0,336535,-358487,34329,-58,0,0,0,0,0,0,0,0,0,0.0005281926442528562,0.029286392032919828,-0.06337135721939025
SCT.NZ,31/08/2016,31/08/2016,0.7152923824126105,0.06338160250736435,True,112044,66579,45465,36664,8801,-386,2550,10965,2831,7485,0,0,56327,56327,7485,7485,299,685,-386,66579,1744,7485,0,0,13394,0,0,113811,19211,94600,93931,93931,62322,48897,93931,62322,87,0,74681,74681,16108,-1788,18639,34244,1463,773,-2984,40369,0,-17410,13124,0,0,87,0,0,0,0,0,0,0,0.10703444436269294,0.11974564943873967,-0.4215517398718558
SCT.NZ,31/08/2017,31/08/2017,0.05485181411839202,0.1661332411709331,False,121482,77340,44142,43130,1012,597,13304,14913,4648,9890,0,0,74681,74681,9890,9840,664,67,597,77340,2987,9890,73,73,17894,0,22.7522,126181,29025,97156,97109,97109,55811,41797,97109,55811,56,0,74681,74681,13407,-13855,-7126,26670,2668,67,-12976,0,0,-31,431,0,0,56,0,0,0,0,0,0,0,0.14479113755435113,0.19770888924795216,-0.3014511702389193
SCT.NZ,31/08/2018,31/08/2018,-0.1886563660223607,0.14990766738700545,False,181779,109381,72398,59396,13002,-34,2078,15046,4274,10768,0,0,75394,75394,10768,10768,369,403,-34,109381,4225,10768,-21,-21,19674,0,0,170111,67164,102947,106984,102896,34013,24179,110305,34013,7755,0,75903,75903,615,-16472,1660,12473,4267,403,-2434,0,5079,-257,-1819,0,0,346,0,0,0,0,0,0,0,0.16224445708811497,0.17387700117334814,0.21550092149457534
SCT.NZ,31/08/2019,30/08/2019,0.0,0.0,False,225093,134792,90301,82145,8156,-1695,2885,9346,742,8690,0,0,76801,76801,8690,8472,20,1715,-1695,134792,8969,8690,237,237,19793,0,18.816,213114,101297,111817,119302,111852,38496,22721,128256,38496,33796,16404,77545,77545,726,-13687,-4249,-4737,4897,0,-7229,0,5000,-742,-6503,0,0,17392,0,0,0,0,0,0,0,0.013355796028962308,0.016642321911340074,0.43570341595023865
SCY.NZ,30/04/2017,28/04/2017,-0.30223926459356654,0.13426938632898522,False,218200,154500,63700,67300,-3600,5600,0,2000,-400,2400,0,0,52688,52688,2400,2400,9200,3600,5600,154500,0,2400,0,0,5600,0,0,133100,79700,53400,106700,53400,51100,68100,106700,51100,53300,41300,52688,52688,6800,1200,-4700,12000,200,3600,-2400,0,0,-2900,4400,0,0,0,0,0,0,0,0,0,0,0.14383588198219632,0.1680110117149265,-0.20616290506406654
SCY.NZ,30/04/2018,30/04/2018,-0.2888888859454496,0.18222840809388985,False,207900,149500,58400,73200,-14800,4900,2000,-9900,-2700,-7200,0,0,52688,52688,-7200,-7200,8000,3100,4900,149500,0,-7200,0,0,-6800,0,0,135500,91200,44300,105200,44300,42200,53100,105200,42200,60900,54700,52688,52688,-1400,-10100,5700,6200,600,3100,-5000,0,0,7600,-6400,0,0,0,0,0,0,0,0,0,0,0.10352436756807792,0.15375181201454247,0.5602350877235589
SCY.NZ,30/04/2019,30/04/2019,-0.5333333498901784,0.057139920356241714,False,206300,143100,63200,62400,800,-2700,0,-1900,-200,-1700,0,0,52688,52688,-1700,-1700,100,2800,-2700,143100,2600,-1700,0,0,3500,0,0,130000,87400,42600,107600,42600,40600,59400,107600,40600,65000,58600,52688,52688,-6000,2100,4100,6400,0,2800,-1700,0,4100,0,-7700,0,0,0,0,0,0,0,0,0,0,0.08180472928477966,0.07491576889496887,-0.00831441122322607
